season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2008,1,mclaren,0.0,0.0,0.0
2008,1,williams,0.0,0.0,0.0
2008,1,bmw_sauber,0.0,0.0,0.0
2008,1,renault,0.0,0.0,0.0
2008,1,toro_rosso,0.0,0.0,0.0
2008,1,ferrari,0.0,0.0,0.0
2008,2,mclaren,14.0,1.0,1.0
2008,2,bmw_sauber,8.0,0.0,3.0
2008,2,ferrari,1.0,0.0,6.0
2008,2,williams,9.0,0.0,2.0
2008,2,renault,5.0,0.0,4.0
2008,2,toyota,0.0,0.0,0.0
2008,2,red_bull,0.0,0.0,0.0
2008,2,toro_rosso,2.0,0.0,5.0
2008,2,honda,0.0,0.0,0.0
2008,2,force_india,0.0,0.0,0.0
2008,2,super_aguri,0.0,0.0,0.0
2008,3,bmw_sauber,19.0,0.0,2.0
2008,3,ferrari,11.0,1.0,3.0
2008,3,mclaren,24.0,1.0,1.0
2008,3,williams,9.0,0.0,4.0
2008,3,toyota,5.0,0.0,6.0
2008,3,renault,6.0,0.0,5.0
2008,3,red_bull,2.0,0.0,7.0
2008,3,toro_rosso,2.0,0.0,8.0
2008,3,honda,0.0,0.0,9.0
2008,3,force_india,0.0,0.0,10.0
2008,3,super_aguri,0.0,0.0,11.0
2008,4,ferrari,29.0,2.0,2.0
2008,4,bmw_sauber,30.0,0.0,1.0
2008,4,mclaren,28.0,1.0,3.0
2008,4,williams,10.0,0.0,4.0
2008,4,toyota,8.0,0.0,5.0
2008,4,red_bull,4.0,0.0,7.0
2008,4,renault,6.0,0.0,6.0
2008,4,honda,0.0,0.0,9.0
2008,4,toro_rosso,2.0,0.0,8.0
2008,4,force_india,0.0,0.0,10.0
2008,4,super_aguri,0.0,0.0,11.0
2008,5,ferrari,47.0,3.0,1.0
2008,5,bmw_sauber,35.0,0.0,2.0
2008,5,mclaren,34.0,1.0,3.0
2008,5,williams,12.0,0.0,4.0
2008,5,red_bull,8.0,0.0,6.0
2008,5,toyota,9.0,0.0,5.0
2008,5,renault,6.0,0.0,7.0
2008,5,honda,3.0,0.0,8.0
2008,5,toro_rosso,2.0,0.0,9.0
2008,5,force_india,0.0,0.0,10.0
2008,5,super_aguri,0.0,0.0,11.0
2008,6,ferrari,63.0,4.0,1.0
2008,6,mclaren,42.0,1.0,3.0
2008,6,bmw_sauber,44.0,0.0,2.0
2008,6,williams,13.0,0.0,4.0
2008,6,red_bull,10.0,0.0,5.0
2008,6,toyota,9.0,0.0,6.0
2008,6,renault,9.0,0.0,7.0
2008,6,toro_rosso,2.0,0.0,9.0
2008,6,honda,3.0,0.0,8.0
2008,6,force_india,0.0,0.0,10.0
2008,6,super_aguri,0.0,0.0,11.0
2008,7,ferrari,69.0,4.0,1.0
2008,7,bmw_sauber,52.0,0.0,3.0
2008,7,mclaren,53.0,2.0,2.0
2008,7,red_bull,15.0,0.0,5.0
2008,7,toyota,9.0,0.0,6.0
2008,7,williams,15.0,0.0,4.0
2008,7,renault,9.0,0.0,7.0
2008,7,honda,6.0,0.0,9.0
2008,7,toro_rosso,6.0,0.0,8.0
2008,7,force_india,0.0,0.0,10.0
2008,7,super_aguri,0.0,0.0,11.0
2008,8,ferrari,73.0,4.0,1.0
2008,8,bmw_sauber,70.0,1.0,2.0
2008,8,mclaren,53.0,2.0,3.0
2008,8,red_bull,21.0,0.0,4.0
2008,8,toyota,17.0,0.0,5.0
2008,8,williams,15.0,0.0,6.0
2008,8,renault,9.0,0.0,7.0
2008,8,honda,8.0,0.0,8.0
2008,8,toro_rosso,7.0,0.0,9.0
2008,8,force_india,0.0,0.0,10.0
2008,8,super_aguri,0.0,0.0,11.0
2008,9,ferrari,91.0,5.0,1.0
2008,9,bmw_sauber,74.0,1.0,2.0
2008,9,mclaren,58.0,2.0,3.0
2008,9,toyota,23.0,0.0,5.0
2008,9,red_bull,24.0,0.0,4.0
2008,9,williams,15.0,0.0,6.0
2008,9,renault,12.0,0.0,7.0
2008,9,honda,8.0,0.0,8.0
2008,9,toro_rosso,7.0,0.0,9.0
2008,9,force_india,0.0,0.0,10.0
2008,9,super_aguri,0.0,0.0,11.0
2008,10,ferrari,96.0,5.0,1.0
2008,10,bmw_sauber,82.0,1.0,2.0
2008,10,mclaren,72.0,3.0,3.0
2008,10,toyota,25.0,0.0,4.0
2008,10,red_bull,24.0,0.0,5.0
2008,10,renault,15.0,0.0,7.0
2008,10,williams,16.0,0.0,6.0
2008,10,honda,14.0,0.0,8.0
2008,10,toro_rosso,7.0,0.0,9.0
2008,10,force_india,0.0,0.0,10.0
2008,10,super_aguri,0.0,0.0,11.0
2008,11,ferrari,105.0,5.0,1.0
2008,11,mclaren,86.0,4.0,3.0
2008,11,bmw_sauber,89.0,1.0,2.0
2008,11,toyota,25.0,0.0,4.0
2008,11,renault,23.0,0.0,6.0
2008,11,red_bull,24.0,0.0,5.0
2008,11,williams,16.0,0.0,7.0
2008,11,honda,14.0,0.0,8.0
2008,11,toro_rosso,8.0,0.0,9.0
2008,11,force_india,0.0,0.0,10.0
2008,11,super_aguri,0.0,0.0,11.0
2008,12,ferrari,111.0,5.0,1.0
2008,12,mclaren,100.0,5.0,2.0
2008,12,bmw_sauber,90.0,1.0,3.0
2008,12,toyota,35.0,0.0,4.0
2008,12,renault,31.0,0.0,5.0
2008,12,red_bull,24.0,0.0,6.0
2008,12,williams,16.0,0.0,7.0
2008,12,honda,14.0,0.0,8.0
2008,12,toro_rosso,8.0,0.0,9.0
2008,12,force_india,0.0,0.0,10.0
2008,12,super_aguri,0.0,0.0,11.0
2008,13,ferrari,121.0,6.0,1.0
2008,13,mclaren,113.0,5.0,2.0
2008,13,bmw_sauber,96.0,1.0,3.0
2008,13,toyota,41.0,0.0,4.0
2008,13,renault,31.0,0.0,5.0
2008,13,red_bull,24.0,0.0,6.0
2008,13,williams,17.0,0.0,7.0
2008,13,toro_rosso,11.0,0.0,9.0
2008,13,honda,14.0,0.0,8.0
2008,13,force_india,0.0,0.0,10.0
2008,13,super_aguri,0.0,0.0,11.0
2008,14,ferrari,131.0,7.0,1.0
2008,14,mclaren,119.0,5.0,2.0
2008,14,bmw_sauber,107.0,1.0,3.0
2008,14,toyota,41.0,0.0,4.0
2008,14,renault,36.0,0.0,5.0
2008,14,toro_rosso,17.0,0.0,8.0
2008,14,red_bull,25.0,0.0,6.0
2008,14,williams,17.0,0.0,7.0
2008,14,honda,14.0,0.0,9.0
2008,14,force_india,0.0,0.0,10.0
2008,14,super_aguri,0.0,0.0,11.0
2008,15,mclaren,129.0,5.0,2.0
2008,15,ferrari,134.0,7.0,1.0
2008,15,bmw_sauber,117.0,1.0,3.0
2008,15,renault,41.0,0.0,5.0
2008,15,toyota,41.0,0.0,4.0
2008,15,toro_rosso,27.0,1.0,6.0
2008,15,red_bull,26.0,0.0,7.0
2008,15,williams,17.0,0.0,8.0
2008,15,honda,14.0,0.0,9.0
2008,15,force_india,0.0,0.0,10.0
2008,15,super_aguri,0.0,0.0,11.0
2008,16,ferrari,134.0,7.0,2.0
2008,16,mclaren,135.0,5.0,1.0
2008,16,bmw_sauber,120.0,1.0,3.0
2008,16,renault,51.0,1.0,4.0
2008,16,toyota,46.0,0.0,5.0
2008,16,toro_rosso,31.0,1.0,6.0
2008,16,red_bull,28.0,0.0,7.0
2008,16,williams,26.0,0.0,8.0
2008,16,honda,14.0,0.0,9.0
2008,16,force_india,0.0,0.0,10.0
2008,16,super_aguri,0.0,0.0,11.0
2008,17,ferrari,142.0,7.0,1.0
2008,17,mclaren,135.0,5.0,2.0
2008,17,bmw_sauber,128.0,1.0,3.0
2008,17,renault,66.0,2.0,4.0
2008,17,toyota,50.0,0.0,5.0
2008,17,toro_rosso,34.0,1.0,6.0
2008,17,red_bull,29.0,0.0,7.0
2008,17,williams,26.0,0.0,8.0
2008,17,honda,14.0,0.0,9.0
2008,17,force_india,0.0,0.0,10.0
2008,17,super_aguri,0.0,0.0,11.0
2008,18,ferrari,156.0,7.0,1.0
2008,18,mclaren,145.0,6.0,2.0
2008,18,bmw_sauber,135.0,1.0,3.0
2008,18,renault,72.0,2.0,4.0
2008,18,toyota,52.0,0.0,5.0
2008,18,toro_rosso,34.0,1.0,6.0
2008,18,red_bull,29.0,0.0,7.0
2008,18,williams,26.0,0.0,8.0
2008,18,honda,14.0,0.0,9.0
2008,18,force_india,0.0,0.0,10.0
2008,18,super_aguri,0.0,0.0,11.0
2009,1,brawn,0.0,0.0,0.0
2009,1,toyota,0.0,0.0,0.0
2009,1,renault,0.0,0.0,0.0
2009,1,williams,0.0,0.0,0.0
2009,1,toro_rosso,0.0,0.0,0.0
2009,1,force_india,0.0,0.0,0.0
2009,1,bmw_sauber,0.0,0.0,0.0
2009,1,red_bull,0.0,0.0,0.0
2009,1,ferrari,0.0,0.0,0.0
2009,2,brawn,18.0,1.0,1.0
2009,2,toyota,11.0,0.0,2.0
2009,2,bmw_sauber,0.0,0.0,7.0
2009,2,renault,4.0,0.0,3.0
2009,2,williams,3.0,0.0,4.0
2009,2,toro_rosso,3.0,0.0,5.0
2009,2,red_bull,0.0,0.0,8.0
2009,2,mclaren,0.0,0.0,0.0
2009,2,force_india,0.0,0.0,6.0
2009,2,ferrari,0.0,0.0,9.0
2009,3,brawn,25.0,2.0,1.0
2009,3,red_bull,0.0,0.0,7.0
2009,3,toyota,0.0,0.0,2.0
2009,3,mclaren,1.0,0.0,8.0
2009,3,bmw_sauber,4.0,0.0,3.0
2009,3,renault,4.0,0.0,4.0
2009,3,toro_rosso,3.0,0.0,6.0
2009,3,williams,0.0,0.0,5.0
2009,3,ferrari,0.0,0.0,10.0
2009,3,force_india,0.0,0.0,9.0
2009,4,brawn,36.0,2.0,1.0
2009,4,red_bull,0.0,1.0,2.0
2009,4,toyota,0.0,0.0,3.0
2009,4,mclaren,8.0,0.0,4.0
2009,4,renault,4.0,0.0,6.0
2009,4,bmw_sauber,4.0,0.0,5.0
2009,4,toro_rosso,4.0,0.0,7.0
2009,4,williams,0.0,0.0,8.0
2009,4,ferrari,0.0,0.0,9.0
2009,4,force_india,0.0,0.0,10.0
2009,5,brawn,50.0,3.0,1.0
2009,5,red_bull,0.0,1.0,2.0
2009,5,toyota,0.0,0.0,3.0
2009,5,mclaren,13.0,0.0,4.0
2009,5,renault,5.0,0.0,5.0
2009,5,bmw_sauber,4.0,0.0,6.0
2009,5,ferrari,3.0,0.0,9.0
2009,5,williams,0.0,0.0,8.0
2009,5,toro_rosso,4.0,0.0,7.0
2009,5,force_india,0.0,0.0,10.0
2009,6,brawn,68.0,4.0,1.0
2009,6,red_bull,0.0,1.0,2.0
2009,6,toyota,0.0,0.0,3.0
2009,6,ferrari,6.0,0.0,7.0
2009,6,mclaren,13.0,0.0,4.0
2009,6,renault,9.0,0.0,5.0
2009,6,williams,0.0,0.0,8.0
2009,6,bmw_sauber,6.0,0.0,6.0
2009,6,toro_rosso,4.0,0.0,9.0
2009,6,force_india,0.0,0.0,10.0
2009,7,brawn,86.0,5.0,1.0
2009,7,red_bull,0.0,1.0,2.0
2009,7,toyota,0.0,0.0,3.0
2009,7,ferrari,17.0,0.0,4.0
2009,7,mclaren,13.0,0.0,5.0
2009,7,williams,0.0,0.0,7.0
2009,7,renault,11.0,0.0,6.0
2009,7,bmw_sauber,6.0,0.0,8.0
2009,7,toro_rosso,5.0,0.0,9.0
2009,7,force_india,0.0,0.0,10.0
2009,8,brawn,96.0,6.0,1.0
2009,8,red_bull,0.0,1.0,2.0
2009,8,toyota,0.0,0.0,3.0
2009,8,ferrari,20.0,0.0,4.0
2009,8,williams,0.0,0.0,6.0
2009,8,mclaren,13.0,0.0,5.0
2009,8,renault,11.0,0.0,7.0
2009,8,bmw_sauber,8.0,0.0,8.0
2009,8,toro_rosso,5.0,0.0,9.0
2009,8,force_india,0.0,0.0,10.0
2009,9,brawn,105.0,6.0,1.0
2009,9,red_bull,0.0,2.0,2.0
2009,9,toyota,0.0,0.0,3.0
2009,9,ferrari,26.0,0.0,4.0
2009,9,williams,0.0,0.0,5.0
2009,9,mclaren,13.0,0.0,6.0
2009,9,renault,11.0,0.0,7.0
2009,9,bmw_sauber,8.0,0.0,8.0
2009,9,toro_rosso,5.0,0.0,9.0
2009,9,force_india,0.0,0.0,10.0
2009,10,brawn,112.0,6.0,1.0
2009,10,red_bull,0.0,3.0,2.0
2009,10,ferrari,32.0,0.0,4.0
2009,10,toyota,0.0,0.0,3.0
2009,10,mclaren,14.0,0.0,6.0
2009,10,williams,0.0,0.0,5.0
2009,10,renault,13.0,0.0,7.0
2009,10,bmw_sauber,8.0,0.0,8.0
2009,10,toro_rosso,5.0,0.0,9.0
2009,10,force_india,0.0,0.0,10.0
2009,11,brawn,114.0,6.0,1.0
2009,11,red_bull,0.0,3.0,2.0
2009,11,ferrari,40.0,0.0,3.0
2009,11,mclaren,28.0,1.0,5.0
2009,11,toyota,0.0,0.0,4.0
2009,11,williams,0.0,0.0,6.0
2009,11,renault,13.0,0.0,7.0
2009,11,bmw_sauber,8.0,0.0,8.0
2009,11,toro_rosso,5.0,0.0,9.0
2009,11,force_india,0.0,0.0,10.0
2009,12,brawn,126.0,7.0,1.0
2009,12,red_bull,0.0,3.0,2.0
2009,12,ferrari,46.0,0.0,3.0
2009,12,mclaren,41.0,1.0,4.0
2009,12,toyota,0.0,0.0,5.0
2009,12,williams,0.0,0.0,6.0
2009,12,bmw_sauber,9.0,0.0,8.0
2009,12,renault,16.0,0.0,7.0
2009,12,force_india,0.0,0.0,10.0
2009,12,toro_rosso,5.0,0.0,9.0
2009,13,brawn,128.0,7.0,1.0
2009,13,red_bull,0.0,3.0,2.0
2009,13,ferrari,56.0,1.0,3.0
2009,13,mclaren,44.0,1.0,4.0
2009,13,toyota,0.0,0.0,5.0
2009,13,williams,0.0,0.0,6.0
2009,13,bmw_sauber,18.0,0.0,7.0
2009,13,renault,16.0,0.0,8.0
2009,13,force_india,8.0,0.0,9.0
2009,13,toro_rosso,5.0,0.0,10.0
2009,14,brawn,146.0,8.0,1.0
2009,14,red_bull,0.0,3.0,2.0
2009,14,ferrari,62.0,1.0,3.0
2009,14,mclaren,47.0,1.0,4.0
2009,14,toyota,0.0,0.0,5.0
2009,14,williams,0.0,0.0,6.0
2009,14,renault,20.0,0.0,8.0
2009,14,bmw_sauber,20.0,0.0,7.0
2009,14,force_india,13.0,0.0,9.0
2009,14,toro_rosso,5.0,0.0,10.0
2009,15,brawn,153.0,8.0,1.0
2009,15,red_bull,0.0,3.0,2.0
2009,15,ferrari,62.0,1.0,3.0
2009,15,mclaren,59.0,2.0,4.0
2009,15,toyota,0.0,0.0,5.0
2009,15,williams,0.0,0.0,6.0
2009,15,renault,26.0,0.0,7.0
2009,15,bmw_sauber,21.0,0.0,8.0
2009,15,force_india,13.0,0.0,9.0
2009,15,toro_rosso,5.0,0.0,10.0
2009,16,brawn,156.0,8.0,1.0
2009,16,red_bull,0.0,4.0,2.0
2009,16,mclaren,65.0,2.0,4.0
2009,16,ferrari,67.0,1.0,3.0
2009,16,toyota,0.0,0.0,5.0
2009,16,williams,0.0,0.0,6.0
2009,16,bmw_sauber,24.0,0.0,8.0
2009,16,renault,26.0,0.0,7.0
2009,16,force_india,13.0,0.0,9.0
2009,16,toro_rosso,5.0,0.0,10.0
2009,17,brawn,161.0,8.0,1.0
2009,17,red_bull,0.0,5.0,2.0
2009,17,mclaren,71.0,2.0,3.0
2009,17,ferrari,70.0,1.0,4.0
2009,17,toyota,0.0,0.0,5.0
2009,17,bmw_sauber,32.0,0.0,7.0
2009,17,williams,0.0,0.0,6.0
2009,17,renault,26.0,0.0,8.0
2009,17,force_india,13.0,0.0,9.0
2009,17,toro_rosso,7.0,0.0,10.0
2010,1,ferrari,0.0,0.0,0.0
2010,1,mclaren,0.0,0.0,0.0
2010,1,mercedes,0.0,0.0,0.0
2010,1,red_bull,0.0,0.0,0.0
2010,1,force_india,0.0,0.0,0.0
2010,1,williams,0.0,0.0,0.0
2010,1,renault,0.0,0.0,0.0
2010,1,toro_rosso,0.0,0.0,0.0
2010,1,lotus_racing,0.0,0.0,0.0
2010,1,sauber,0.0,0.0,0.0
2010,1,hrt,0.0,0.0,0.0
2010,1,virgin,0.0,0.0,0.0
2010,2,ferrari,43.0,1.0,1.0
2010,2,mclaren,21.0,0.0,2.0
2010,2,mercedes,18.0,0.0,3.0
2010,2,renault,0.0,0.0,7.0
2010,2,red_bull,16.0,0.0,4.0
2010,2,force_india,2.0,0.0,5.0
2010,2,williams,1.0,0.0,6.0
2010,2,toro_rosso,0.0,0.0,8.0
2010,2,sauber,0.0,0.0,10.0
2010,2,lotus_racing,0.0,0.0,9.0
2010,2,hrt,0.0,0.0,11.0
2010,2,virgin,0.0,0.0,12.0
2010,3,ferrari,70.0,1.0,1.0
2010,3,mclaren,54.0,1.0,2.0
2010,3,red_bull,18.0,0.0,5.0
2010,3,mercedes,29.0,0.0,3.0
2010,3,renault,18.0,0.0,4.0
2010,3,force_india,8.0,0.0,6.0
2010,3,williams,5.0,0.0,7.0
2010,3,toro_rosso,0.0,0.0,8.0
2010,3,sauber,0.0,0.0,9.0
2010,3,lotus_racing,0.0,0.0,10.0
2010,3,hrt,0.0,0.0,11.0
2010,3,virgin,0.0,0.0,12.0
2010,4,mclaren,66.0,1.0,2.0
2010,4,ferrari,76.0,1.0,1.0
2010,4,red_bull,61.0,1.0,3.0
2010,4,mercedes,44.0,0.0,4.0
2010,4,renault,30.0,0.0,5.0
2010,4,force_india,18.0,0.0,6.0
2010,4,williams,6.0,0.0,7.0
2010,4,toro_rosso,2.0,0.0,8.0
2010,4,sauber,0.0,0.0,9.0
2010,4,lotus_racing,0.0,0.0,10.0
2010,4,hrt,0.0,0.0,11.0
2010,4,virgin,0.0,0.0,12.0
2010,5,mclaren,109.0,2.0,1.0
2010,5,ferrari,90.0,1.0,2.0
2010,5,red_bull,73.0,1.0,3.0
2010,5,mercedes,60.0,0.0,4.0
2010,5,renault,46.0,0.0,5.0
2010,5,force_india,18.0,0.0,6.0
2010,5,williams,6.0,0.0,7.0
2010,5,toro_rosso,2.0,0.0,8.0
2010,5,sauber,0.0,0.0,9.0
2010,5,lotus_racing,0.0,0.0,10.0
2010,5,hrt,0.0,0.0,11.0
2010,5,virgin,0.0,0.0,12.0
2010,6,red_bull,113.0,2.0,3.0
2010,6,ferrari,116.0,1.0,2.0
2010,6,mclaren,119.0,2.0,1.0
2010,6,mercedes,72.0,0.0,4.0
2010,6,renault,50.0,0.0,5.0
2010,6,force_india,24.0,0.0,6.0
2010,6,williams,8.0,0.0,7.0
2010,6,toro_rosso,3.0,0.0,8.0
2010,6,sauber,0.0,0.0,9.0
2010,6,lotus_racing,0.0,0.0,10.0
2010,6,hrt,0.0,0.0,11.0
2010,6,virgin,0.0,0.0,12.0
2010,7,mclaren,129.0,2.0,3.0
2010,7,red_bull,156.0,3.0,1.0
2010,7,ferrari,136.0,1.0,2.0
2010,7,mercedes,78.0,0.0,4.0
2010,7,renault,65.0,0.0,5.0
2010,7,force_india,30.0,0.0,6.0
2010,7,williams,8.0,0.0,7.0
2010,7,toro_rosso,4.0,0.0,8.0
2010,7,sauber,0.0,0.0,9.0
2010,7,lotus_racing,0.0,0.0,10.0
2010,7,hrt,0.0,0.0,11.0
2010,7,virgin,0.0,0.0,12.0
2010,8,mclaren,172.0,3.0,1.0
2010,8,red_bull,171.0,3.0,2.0
2010,8,ferrari,146.0,1.0,3.0
2010,8,mercedes,100.0,0.0,4.0
2010,8,renault,73.0,0.0,5.0
2010,8,force_india,32.0,0.0,6.0
2010,8,toro_rosso,4.0,0.0,8.0
2010,8,williams,8.0,0.0,7.0
2010,8,sauber,1.0,0.0,9.0
2010,8,lotus_racing,0.0,0.0,10.0
2010,8,hrt,0.0,0.0,11.0
2010,8,virgin,0.0,0.0,12.0
2010,9,mclaren,215.0,4.0,1.0
2010,9,red_bull,193.0,3.0,2.0
2010,9,ferrari,161.0,1.0,3.0
2010,9,mercedes,108.0,0.0,4.0
2010,9,renault,79.0,0.0,5.0
2010,9,force_india,35.0,0.0,6.0
2010,9,williams,8.0,0.0,8.0
2010,9,toro_rosso,8.0,0.0,7.0
2010,9,sauber,1.0,0.0,9.0
2010,9,lotus_racing,0.0,0.0,10.0
2010,9,hrt,0.0,0.0,11.0
2010,9,virgin,0.0,0.0,12.0
2010,10,mclaren,248.0,4.0,1.0
2010,10,red_bull,218.0,4.0,2.0
2010,10,ferrari,165.0,1.0,3.0
2010,10,mercedes,109.0,0.0,4.0
2010,10,renault,89.0,0.0,5.0
2010,10,force_india,43.0,0.0,6.0
2010,10,williams,20.0,0.0,7.0
2010,10,sauber,7.0,0.0,9.0
2010,10,toro_rosso,10.0,0.0,8.0
2010,10,lotus_racing,0.0,0.0,10.0
2010,10,hrt,0.0,0.0,11.0
2010,10,virgin,0.0,0.0,12.0
2010,11,mclaren,278.0,4.0,1.0
2010,11,red_bull,249.0,5.0,2.0
2010,11,ferrari,165.0,1.0,3.0
2010,11,mercedes,126.0,0.0,4.0
2010,11,renault,89.0,0.0,5.0
2010,11,force_india,47.0,0.0,6.0
2010,11,williams,31.0,0.0,7.0
2010,11,sauber,15.0,0.0,8.0
2010,11,toro_rosso,10.0,0.0,9.0
2010,11,lotus_racing,0.0,0.0,10.0
2010,11,hrt,0.0,0.0,11.0
2010,11,virgin,0.0,0.0,12.0
2010,12,red_bull,272.0,5.0,2.0
2010,12,mclaren,300.0,4.0,1.0
2010,12,ferrari,208.0,2.0,3.0
2010,12,mercedes,132.0,0.0,4.0
2010,12,renault,96.0,0.0,5.0
2010,12,force_india,47.0,0.0,6.0
2010,12,williams,31.0,0.0,7.0
2010,12,sauber,15.0,0.0,8.0
2010,12,toro_rosso,10.0,0.0,9.0
2010,12,lotus_racing,0.0,0.0,10.0
2010,12,hrt,0.0,0.0,11.0
2010,12,virgin,0.0,0.0,12.0
2010,13,red_bull,312.0,6.0,1.0
2010,13,mclaren,304.0,4.0,2.0
2010,13,ferrari,238.0,2.0,3.0
2010,13,mercedes,132.0,0.0,4.0
2010,13,renault,106.0,0.0,5.0
2010,13,force_india,47.0,0.0,6.0
2010,13,williams,40.0,0.0,7.0
2010,13,sauber,23.0,0.0,8.0
2010,13,toro_rosso,10.0,0.0,9.0
2010,13,lotus_racing,0.0,0.0,10.0
2010,13,hrt,0.0,0.0,11.0
2010,13,virgin,0.0,0.0,12.0
2010,14,red_bull,330.0,6.0,1.0
2010,14,mclaren,329.0,5.0,2.0
2010,14,ferrari,250.0,2.0,3.0
2010,14,mercedes,146.0,0.0,4.0
2010,14,renault,123.0,0.0,5.0
2010,14,force_india,58.0,0.0,6.0
2010,14,williams,40.0,0.0,7.0
2010,14,sauber,27.0,0.0,8.0
2010,14,toro_rosso,10.0,0.0,9.0
2010,14,lotus_racing,0.0,0.0,10.0
2010,14,hrt,0.0,0.0,11.0
2010,14,virgin,0.0,0.0,12.0
2010,15,red_bull,350.0,6.0,1.0
2010,15,mclaren,347.0,5.0,2.0
2010,15,ferrari,290.0,3.0,3.0
2010,15,mercedes,158.0,0.0,4.0
2010,15,renault,127.0,0.0,5.0
2010,15,force_india,58.0,0.0,6.0
2010,15,williams,47.0,0.0,7.0
2010,15,sauber,27.0,0.0,8.0
2010,15,toro_rosso,10.0,0.0,9.0
2010,15,lotus_racing,0.0,0.0,10.0
2010,15,hrt,0.0,0.0,11.0
2010,15,virgin,0.0,0.0,12.0
2010,16,red_bull,383.0,6.0,1.0
2010,16,mclaren,359.0,5.0,2.0
2010,16,ferrari,319.0,4.0,3.0
2010,16,mercedes,168.0,0.0,4.0
2010,16,renault,133.0,0.0,5.0
2010,16,force_india,60.0,0.0,6.0
2010,16,williams,56.0,0.0,7.0
2010,16,sauber,27.0,0.0,8.0
2010,16,toro_rosso,10.0,0.0,9.0
2010,16,lotus_racing,0.0,0.0,10.0
2010,16,hrt,0.0,0.0,11.0
2010,16,virgin,0.0,0.0,12.0
2010,17,red_bull,426.0,7.0,1.0
2010,17,mclaren,381.0,5.0,2.0
2010,17,ferrari,334.0,4.0,3.0
2010,17,mercedes,176.0,0.0,4.0
2010,17,renault,133.0,0.0,5.0
2010,17,force_india,60.0,0.0,6.0
2010,17,williams,58.0,0.0,7.0
2010,17,sauber,37.0,0.0,8.0
2010,17,toro_rosso,11.0,0.0,9.0
2010,17,lotus_racing,0.0,0.0,10.0
2010,17,hrt,0.0,0.0,11.0
2010,17,virgin,0.0,0.0,12.0
2010,18,red_bull,426.0,7.0,1.0
2010,18,mclaren,399.0,5.0,2.0
2010,18,ferrari,374.0,5.0,3.0
2010,18,mercedes,188.0,0.0,4.0
2010,18,renault,143.0,0.0,5.0
2010,18,williams,65.0,0.0,7.0
2010,18,force_india,68.0,0.0,6.0
2010,18,sauber,43.0,0.0,8.0
2010,18,toro_rosso,11.0,0.0,9.0
2010,18,lotus_racing,0.0,0.0,10.0
2010,18,hrt,0.0,0.0,11.0
2010,18,virgin,0.0,0.0,12.0
